Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.64 TCW",1676.5,2395.0,14K Gold,Rose,"Emerald Cut Morganite 2.55, Round Diamond 0.09,",Rings,2.64
"Effy Blush 14K Rose Gold Morganite, Cognac and White Diamond Ring, 2.38 TCW",1816.5,2595.0,14K Gold,Rose,"Pear Morganite 2.15, Round Diamond 0.23,",Rings,2.38
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Ring, 11.50 TCW",1295.0,1850.0,14K Gold,Yellow,"Fantasy Cut Onyx 11.3, Round Diamond 0.2,",Rings,11.5
"Effy Pave Rose 14K Rose Gold Diamond Negative Space Ring, 0.43 TCW",1676.5,2395.0,14K Gold,Rose,Round Diamond 0.43,Rings,0.43
Effy 925 Silver & 18K Gold Cognac Diamond Ring,297.5,425.0,Sterling Silver & 18K Gold,Yellow,"Round Cognac Diamond 0.09,",Rings,0.0
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 4.00 TCW",2796.5,3995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 3.54, Round Diamond 0.46",Rings,4.0
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 2.15 TCW",1645.0,2350.0,14K Gold,White,"Cushion Aquamarine 1.9, Round Diamond 0.25,",Rings,2.15
"Effy Brasilica 14K Yellow Gold Emerald, Cognac & White Diamond Ring, 1.70 TCW",2975.0,4250.0,14K Gold,Yellow,"Oval Emerald 1.14, Round Diamond 0.56,",Rings,1.7
"Effy 14K White Gold Black and White Diamond Ring, .72 TCW",1536.5,2195.0,14K Gold,White,"Round Diamond 0.72,",Rings,0.72
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 3.96 TCW",1816.5,2595.0,14K Gold,White,"Rectangle Aquamarine 3.8, Round Diamond 0.16",Rings,3.96
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, .46 TCW",1676.5,2395.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ,",Rings,0.46
"Gemma White Gold Emerald & Diamond Ring, 1.37 TCW",2446.5,3495.0,14K Gold,White,"Emerald Cut Emerald 0.95, Round Diamond 0.42",Rings,1.37
Pave Classica 14K Rose Gold Diamond Wedding Band,696.5,995.0,14K Gold,Rose,"Round Diamond 0.13,Matching band for Style WZ0M486DTR",Rings,0.0
"Effy Bouquet 14K White Gold Diamond Filigree Ring, 0.53 TCW",2026.5,2895.0,14K Gold,White,Round Diamond 0.53,Rings,0.53
"Effy Safari 14K Rose Gold Diamond Owl Ring, 0.72 TCW",2905.0,4150.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ,",Rings,0.72
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Ring, 2.44 TCW",2026.5,2895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.17, Round Diamond 0.27",Rings,2.44
"Effy Signature 14K Rose Gold Diamond & Emerald Double Finger Ring, 1.91 TCW",6926.5,9895.0,14K Gold,Rose,"Round Diamond 1.87, Round Emerald 0.04,",Rings,1.91
"Effy Signature 14K White Gold Diamond and Emerald Ring, 1.40 TCW",4056.5,5795.0,14K Gold,White,"Round Diamond, Round Black Diamond , Round Emerald 0.05,",Rings,1.4
"Effy 925 S. Silver & 18K Gold Diamond Ring, .11 TCW",416.5,595.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.11,",Rings,0.11
Effy 925 Sterling Silver & 18K Gold Blue Sapphire Ring,245.0,350.0,Sterling Silver & 18K Gold,Yellow,"Round Blue Sapphire 0.19,",Rings,0.0
"Effy 925 Sterling Silver Pink Sapphire Splash Starfish Ring, 2.82 TCW",525.0,750.0,Sterling Silver,Sterling Silver,"Round Pink Sapphire 2.82,",Rings,2.82
"Effy 925 Lagoon Green Amethyst Ring, 4.09 TCW",416.5,595.0,Sterling Silver,Sterling Silver,"Oval Green Amethyst 4.09,",Rings,4.09
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 2.89 TCW",6497.5,12995.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.19",Rings,2.89
"Gemma White Gold Blue Sapphire & Diamond Ring, 2.61 TCW",2236.5,3195.0,14K Gold,White,"Oval Blue Sapphire 2.14, Round Diamond 0.47,",Rings,2.61
"Effy Pave Classica 14K White Gold Diamond Engagement Ring, 0.98 TCW",6997.5,13995.0,14K Gold,White,"Round Diamond 0.98,",Rings,0.98
"Effy Pave Rose 14K Rose Gold Diamond Ring, 0.40 TCW",1746.5,2495.0,14K Gold,Rose,"Round Diamond 0.4,",Rings,0.4
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, .89 TCW",2096.5,2995.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ,",Rings,0.89
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 0.66 TCW",2376.5,3395.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.02,",Rings,0.66
"Signature Rose Gold Diamond and Emerald Ring, 1.35 TCW",4047.5,8095.0,14K Gold,Rose,"Round Diamond, Round Cognac Diamond , Round Emerald 0.06,",Rings,1.35
"Effy Trio 14K Tri-Color Gold Diamond Ring, 0.54 TCW",2236.5,3195.0,14K Gold,Three Tone,"Round Diamond 0.54,",Rings,0.54
"Gemma Blue Sapphire and Diamond Ring, 1.14 TCW",1816.5,2595.0,14K Gold,White,"Round Blue Sapphire 0.85, Round Diamond 0.29,",Rings,1.14
"Effy Gemma 14K Yellow Gold Genuine Ruby and Diamond Ring, 0.88 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Ruby 0.63, Round Diamond 0.25,",Rings,0.88
"Gemma Blue Sapphire and Diamond Ring, 0.76 TCW",1225.0,1750.0,14K Gold,White,"Round Diamond 0.24, Round Blue Sapphire 0.52,",Rings,0.76
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.91 TCW",15050.0,21500.0,14K Gold,White,Round Diamond 1.91,Rings,1.91
"Gemma Oval Blue Sapphire and Diamond Ring, 2.29 TCW",3605.0,5150.0,14K Gold,White,"Round Diamond 0.39, Oval Blue Sapphire 1.9,",Rings,2.29
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.71 TCW",10697.5,21395.0,14K Gold,White,Multi Shape Diamond 1.71,Rings,1.71
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.29 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.29,",Rings,0.29
"Effy Pave Classica 14K White Gold Diamond Cross Over Ring, 0.29 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.29,",Rings,0.29
"Effy 14K Yellow Gold Espresso, Black and White Diamond Ring, 1.53 TCW",4445.0,6350.0,14K Gold,Yellow,Round Diamond 1.53,Rings,1.53
"Effy 14K White Gold Black and White Diamond Ring, 1.28 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond, Round Black Diamond ,",Rings,1.28
"Gemma Blue Sapphire and Diamond Ring, 2.37 TCW",2297.5,4595.0,14K Gold,White,"Round Diamond 0.31, Round Sapphire 2.06,",Rings,2.37
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.88 TCW",3395.0,4850.0,14K Gold,White,"Trillion Tanzanite 1.62, Round Diamond 0.26",Rings,1.88
"Effy Trio Sterling Silver & 14K Gold Diamond Crossover Ring, 0.07 TCW",595.0,850.0,Sterling Silver & 14K Gold,Three Tone,Round Diamond 0.07,Rings,0.07
"Effy Ruby Royale 18K White Gold Ruby and Diamond Ring, 9.47 TCW",30236.5,43195.0,14K Gold,White,"Cushion Ruby 7.14, Round Diamond 2.33",Rings,9.47
"Effy Tanzanite Royale 18K White Gold Tanzanite and Diamond Ring, 12.41 TCW",35486.5,50695.0,18K Gold,White,"Oval Tanzanite 7.9, Round Diamond 4.51",Rings,12.41
"Effy Duo 14K Two Tone Gold Diamond Crossover Ring, 0.97 TCW",4406.5,6295.0,14K Gold,Yellow and White,Round Diamond 0.97,Rings,0.97
"Effy Kidz 14K Yellow Gold Diamond Pave Heart Ring, 0.10 TCW",766.5,1095.0,14K Gold,Yellow,Round Diamond 0.1,Rings,0.1
"Effy Duo 14K Two-Tone Gold Diamond Wrap Ring, 0.78 TCW",2625.0,3750.0,14K Gold,Rose and White,"Round Diamond 0.78,",Rings,0.78
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 0.98 TCW",6016.5,8595.0,14K Gold,White,"Round Diamond 0.98,",Rings,0.98
"Effy 925 Sterling Silver Ruby and Pink Sapphire Splash Bowtie Ring, 1.80 TCW",402.5,575.0,Sterling Silver,Sterling Silver,"Round Pink Sapphire 1.80,",Rings,1.8
"Effy Ruby Royale 14K Yellow Gold Genuine Ruby & Diamond Ring, 4.11 TCW",5456.5,7795.0,14K Gold,Yellow,"Baguette Ruby 3.28, Round Diamond 0.83,",Rings,4.11
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Cocktail Ring, 16.88",1470.0,2100.0,14K Gold,Yellow,"Oval Onyx 16.8, Round Diamond 0.08,",Rings,0.0
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.66 TCW",2516.5,3595.0,14K Gold,White,"Trillion Tanzanite 1.25, Multi Shape Diamond 0.41",Rings,1.66
"Gemma Sapphire and Diamond Channel-Set Ring, 0.71 TCW",1536.5,2195.0,14K Gold,White,"Baguette Blue Sapphire 0.51, Round Diamond 0.2,",Rings,0.71
"Effy Classique 14K White Gold Diamond Ring, 1.15 TCW",3875.0,7750.0,14K Gold,White,"Multi Shape Diamond 1.15,",Rings,1.15
"Effy Gemma 14K Yellow Gold Ruby and Diamond Channel-Set Ring, 0.72 TCW",1505.0,2150.0,14K Gold,Yellow,"Baguette Ruby 0.57, Round Diamond 0.15,",Rings,0.72
"Effy Classique 14K White Gold Channel Set Diamond Band, 0.44 TCW",1606.5,2295.0,14K Gold,White,"Baguette Diamond 0.44,",Rings,0.44
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.73 TCW",2870.0,4100.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.21",Rings,1.73
"Effy Royale Bleu 14K Yellow & White Gold Blue Sapphire and Diamond Ring, 1.46 TCW",2096.5,2995.0,14K Gold,Yellow and White,"Emerald Cut Blue Sapphire 1.05, Round Diamond 0.41,",Rings,1.46
"Effy Gemma 14K Yellow Gold Ruby and Diamond Ring, 0.76 TCW",1225.0,1750.0,14K Gold,Yellow,"Round Ruby 0.52, Round Diamond 0.24,",Rings,0.76
"Effy 14K Yellow Gold Black Jade and Diamond Ring, 10.47 TCW",1925.0,2750.0,14K Gold,Yellow,"Oval Black Jade 10.4, Round Diamond 0.07,",Rings,10.47
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.91 TCW",2787.5,5575.0,14K Gold,White,"Oval Tanzanite 1.14, Round Diamond 0.77",Rings,1.91
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Ring, 2.39 TCW",3255.0,4650.0,14K Gold,Yellow and White,"Oval Blue Sapphire 1.9, Round Diamond 0.49",Rings,2.39
"Effy Pave Rose 14K Rose Gold Diamond Flower Ring, 0.90 TCW",4056.5,5795.0,14K Gold,Rose,"Round Diamond 0.9,",Rings,0.9
"Effy 14K White Gold Black and White Diamond Ring, 1.08 TCW",2447.5,4895.0,14K Gold,White,Round Diamond 1.08,Rings,1.08
"Effy 14K White Gold Black and White Diamond Ring, 1.64 TCW",3255.0,4650.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",Rings,1.64
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.39 TCW",2796.5,3995.0,14K Gold,Yellow,"Round Diamond 0.39,",Rings,0.39
"Effy Duo 14K Rose and White Gold Diamond Crossover Ring, 0.29 TCW",1396.5,1995.0,14K Gold,Rose,Round Diamond 0.29,Rings,0.29
"Effy Ruby Royale 14K Rose Gold Natural Ruby and Diamond Ring, 3.86 TCW",5425.0,7750.0,14K Gold,Rose,"Multi Shape Ruby 2.69, Round Diamond 1.17,",Rings,3.86
"Gemma 14K Yellow Gold Emerald and Diamond Ring, 1.28 TCW",2170.0,3100.0,14K Gold,Yellow,"Emerald Cut Emerald 0.95, Round Diamond 0.33,",Rings,1.28
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Wrap Ring, 2.22 TCW",3426.5,4895.0,14K Gold,Yellow,"Baguette Emerald 1.86, Round Diamond 0.36,Top Width"" 5/8""",Rings,2.22
"Effy Bridal 14K White Gold Diamond Cluster Ring and Band Set, 1.77 TCW",5705.0,8150.0,14K Gold,White,"Round Diamond 1.77,",Rings,1.77
"Effy Bouquet 14K White Gold Diamond Cluster Ring, 1.94 TCW",5246.5,7495.0,14K Gold,White,Round Diamond 1.94,Rings,1.94
"Effy Classique 14K White Gold Diamond Ring, 0.58 TCW",2975.0,4250.0,14K Gold,White,"Multi Shape Diamond 0.58,",Rings,0.58
"Effy Pave Classica 14K White Gold Diamond Negative Space Ring, 0.90 TCW",4756.5,6795.0,14K Gold,White,Round Diamond 0.9,Rings,0.9
"Effy Limited Edition 14K Yellow Gold Tanzanite and Diamond Ring, 3.69 TCW",6750.0,13500.0,14K Gold,Yellow,"Emerald Cut Tanzanite 2.91, Multi Shape Diamond 0.78,",Rings,3.69
"Effy Bridal 14K White Gold Diamond Cluster Ring and Band Set, 0.72 TCW",3146.5,4495.0,14K Gold,White,"Round Diamond 0.72,",Rings,0.72
"Effy D'Oro 14K Yellow Gold Channel Set Diamond Ring, 0.98 TCW",1886.5,2695.0,14K Gold,Yellow,"Round Diamond 0.98,",Rings,0.98
"Effy Trio 14K Tri-Color Gold Diamond 3-Band Ring, 0.56 TCW",2485.0,3550.0,14K Gold,Three Tone,"Round Diamond 0.56,",Rings,0.56
"Effy Bridal 14K White Gold Diamond Solitaire Ring, 0.33 TCW",1195.0,1195.0,14K Gold,White,Round Diamond 0.33,Rings,0.33
"Effy Pave Rose 14K Rose Gold Diamond Wave Ring, 0.26 TCW",1956.5,2795.0,14K Gold,Rose,"Round Diamond 0.26,",Rings,0.26
"Effy 14K White Gold Black Diamond Band Ring, 0.88 TCW",1746.5,2495.0,14K Gold,White,"Round Diamond 0.88,",Rings,0.88
"Effy Classique 14K White Gold Diamond Ring, 0.81 TCW",2586.5,3695.0,14K Gold,White,Multi Shape Diamond 0.81,Rings,0.81
"Effy Signature 14K White Gold Diamond Panther Ring, 1.91 TCW",4297.5,8595.0,14K Gold,White,"Round Diamond 1.88, Round Emerald 0.03",Rings,1.91
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, 0.56 TCW",2096.5,2995.0,14K Gold,Rose,"Round Diamond 0.56,",Rings,0.56
"Effy Nature 14K Yellow Gold Multi Color Diamond Butterfly Ring, 2.82 TCW",6296.5,8995.0,14K Gold,Yellow,"Round Diamond 2.82,",Rings,2.82
"Effy Gemma 14K Yellow Gold Natural Ruby and Diamond Ring, 1.08 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Ruby 0.8, Round Diamond 0.29,",Rings,1.08
"Effy Blush 14K Rose Gold Morganite and Diamond Ring, 2.64 TCW",1956.5,2795.0,14K Gold,Rose,"Oval Morganite 2.35, Round Diamond 0.29",Rings,2.64
"Effy Brasilica 14K Two Tone Gold Emerald and Diamond Ring, 1.90 TCW",3216.5,4595.0,14K Gold,Yellow and White,"Emerald Cut Emerald 1.42, Round Diamond 0.48",Rings,1.9
"Effy Aquarius 14K White Gold Aquamarine and Diamond Ring, 2.48 TCW",1505.0,2150.0,14K Gold,White,"Oval Aquamarine 2.4, Round Diamond 0.08,",Rings,2.48
"Effy Brasilica 18K White Gold Fine Emerald and Diamond Ring, 7.29 TCW",26250.0,37500.0,18K Gold,White,"Emerald Cut Emerald 5.23, Multi Shape Diamond 2.06,",Rings,7.29
"Effy Royale Bleu 14K White Gold Blue Sapphire and Diamond Ring, 1.46 TCW",1540.0,2200.0,14K Gold,White,"Round Diamond 0.13, Princess Sapphire 1.33,",Rings,1.46
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 4.89 TCW",9656.5,13795.0,14K Gold,Rose,"Round Diamond 4.62, Round Emerald 0.27,",Rings,4.89
"Effy Classique 14K White Gold Diamond Ring, 0.55 TCW",2485.0,3550.0,14K Gold,White,"Multi Shape Diamond 0.55,",Rings,0.55
"Effy Hematian 18K Two Tone Gold Fine Emerald and Diamond Ring, 9.63 TCW",43750.0,62500.0,18K Gold,Yellow and White,"Emerald Cut Emerald 8.72, Multi Shape Diamond 0.91,",Rings,9.63
"Gemma Blue Sapphire and Diamond Ring, 0.88 TCW",1186.5,1695.0,14K Gold,White,"Diamond 0.25,",Rings,0.88
"Effy Pave Classica 14K White Gold Diamond Ring, 0.59 TCW",2026.5,2895.0,14K Gold,White,"Multi Shape Diamond 0.59,",Rings,0.59
"Effy 14K White Gold Black and White Diamond Ring, 0.89 TCW",1816.5,2595.0,14K Gold,White,"Round Black Diamond 0.67, Round Diamond 0.22,",Rings,0.89
"Effy D'Oro 14K Yellow Gold Diamond Double Band Ring, 0.36 TCW",1295.0,1850.0,14K Gold,Yellow,"Diamond 0.36,",Rings,0.36
"Effy Canare 14K Gold Yellow and White Diamond Cigar Band Ring, 3.82 TCW",13650.0,19500.0,14K Gold,White,"Round Yellow Diamond 2.86, Round Diamond 0.96",Rings,3.82
"Effy Pave Classica 14K White Gold Double Band Diamond Ring, 0.36 TCW",1295.0,1850.0,14K Gold,White,"Round Diamond 0.36,",Rings,0.36
"Effy Tanzanite Royale 18K White Gold Tanzanite and Diamond Ring, 7.27 TCW",20996.5,29995.0,18K Gold,White,"Emerald Cut Tanzanite 6.04, Multi Shape Diamond 1.23",Rings,7.27
"Effy Brasilica 14K White Gold Channel Set Emerald Ring, 0.65 TCW",945.0,1350.0,14K Gold,White,"Round Emerald 0.65,",Rings,0.65
"Effy D'Oro 14K Yellow Gold Channel Set Diamond Ring, 0.44 TCW",1606.5,2295.0,14K Gold,Yellow,"Baguette Diamond 0.44,",Rings,0.44
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Ring, 3.20 TCW",7696.5,10995.0,14K Gold,Yellow,"Oval Emerald 2.14, Round Diamond 1.06,",Rings,3.2
"Effy Ruby Royale 14K Rose Gold Ruby Band Ring, 0.84 TCW",945.0,1350.0,14K Gold,Rose,"Round Ruby 0.84,",Rings,0.84
"Effy 14K White Gold Diamond Eternity Band Ring, 5.00 TCW",19386.5,27695.0,14K Gold,White,"Round Diamond 5,Full Eternity Band",Rings,5.0
"Effy 14K White Gold Black and White Diamond Ring, 2.74 TCW",5497.5,10995.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",Rings,2.74
"Effy Signature 14K Rose Gold Diamond & Emerald Panther Ring, 0.95 TCW",2380.0,3400.0,14K Gold,Rose,"Round Diamond 0.93, Round Emerald 0.02",Rings,0.95
"Gemma Emerald, Yellow Sapphire and Diamond Ring",3846.5,5495.0,14K Gold,White,"Emerald Cut Emerald 2.2, Round Yellow Sapphire 0.26, Round Diamond 0.12,",Rings,0.0
"Effy Bridal 14K White Gold Diamond Ring, 1.02 TCW",4336.5,6195.0,14K Gold,White,"Round Diamond 1.02,",Rings,1.02
"Effy Pave Classica 14K White Gold Diamond Ring, 2.65 TCW",5997.5,11995.0,14K Gold,White,Round Diamond 2.65,Rings,2.65
"Effy Pave Classica 14K White Gold Diamond Wide Band Ring, 1.54 TCW",6497.5,12995.0,14K Gold,White,Round Diamond 2.94,Rings,1.54
"Effy Bridal 18K White Gold Diamond Solitaire Ring, 1.08 TCW",12950.0,18500.0,18K Gold,White,"Round Diamond 1, Round Diamond 0.08,",Rings,1.08
"Effy 14K Yellow Gold Cultured Pearl and Diamond Ring, 0.31 TCW",1116.5,1595.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.31,",Rings,0.31
"Effy Brasilica 14K White Gold Emerald and Diamond Ring, 1.12 TCW",1746.5,2495.0,14K Gold,White,"Oval Emerald 0.68, oval Diamond 0.44,",Rings,1.12
"Effy D'Oro 14K Yellow Gold Diamond Band Ring, 0.25 TCW",1606.5,2295.0,14K Gold,Yellow,"Round Diamond 0.25,",Rings,0.25
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Ring, 0.65 TCW",3955.0,5650.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.65,",Rings,0.65
"Effy Tanzanite Royale 14K White Gold Tanzanite and Diamond Ring, 1.63 TCW",1256.5,1795.0,14K Gold,White,"Round Tanzanite 1.52, Round Diamond 0.11",Rings,1.63
"Effy Bridal 14K White Gold Diamond Solitaire Ring, 0.50 TCW",2195.0,2195.0,14K Gold,White,Round Diamond 0.5,Rings,0.5
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.76 TCW",3286.5,4695.0,14K Gold,Yellow,Multi Shape Diamond 0.76,Rings,0.76
"Effy D'Oro 14K Yellow Gold Diamond Ring, 0.46 TCW",2695.0,3850.0,14K Gold,Yellow,Multi Shape Diamond 0.46,Rings,0.46
"Effy Splash Sterling Silver Multi Color Sapphire Ring, 3.45 TCW",612.5,875.0,Sterling Silver,Sterling Silver,Round Multi Color 3.45,Rings,3.45
"Effy Splash Sterling Silver Blue Sapphire Ball Ring, 2.73 TCW",595.0,850.0,Sterling Silver,Sterling Silver,Round Blue Sapphire 2.73,Rings,2.73
"Effy Splash Sterling Silver Pink Sapphire Ball Ring, 2.70 TCW",626.5,895.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 2.7,Rings,2.7
"Effy Limited Edition 14K White Gold Sapphire and Diamond Ring, 6.61 TCW",6716.5,9595.0,14K Gold,White,"Baguette Blue Sapphire 5.22, Round Diamond 1.39,",Rings,6.61
"Effy Classique 14K White Gold Diamond Split Band Ring, 0.50 TCW",3850.0,5500.0,14K Gold,White,"Multi Shape Diamond 1.25,",Rings,0.5
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.76 TCW",2026.5,2895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.67, Round Diamond 0.06",Rings,2.76
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Ring, 1.73 TCW",2200.0,4400.0,14K Gold,Rose,"Oval Tanzanite 1.14, Round Diamond 0.59",Rings,1.73
"Effy Brasilica 14K White Gold Emerald and Diamond Halo Ring, 0.60 TCW",1046.5,1495.0,14K Gold,White,"Round Emerald 0.48, Round Diamond 0.12,",Rings,0.6
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Ring, 0.81 TCW",1085.0,1550.0,14K Gold,Rose,"Round Tanzanite 0.74, Round Diamond 0.07",Rings,0.81
"Effy Gemma 14K White Gold Ruby and Diamond Halo Ring, 0.69 TCW",1155.0,1650.0,14K Gold,White,"Round Ruby 0.57, Round Diamond 0.12,",Rings,0.69
"Gemma Emerald and Diamond Ring, 0.73 TCW",1186.5,1695.0,14K Gold,Yellow,"Round Diamond 0.25, Round Emerald 0.48,",Rings,0.73
"Effy Canare 14K Two-Tone Gold  Yellow and White Diamond Ring, 2.16 TCW",7350.0,10500.0,14K Gold,Yellow and White,"Round Diamond 2.16,",Rings,2.16
Effy Espresso 14K Rose Gold Cognac and White Diamond Band,1326.5,1895.0,14K Gold,Rose,"Round Diamond 0.31,Matching band for Style WZ0P637D26",Rings,0.0
"Effy Canare 14K Yellow Gold Yellow Diamond Ring, 0.66 TCW",2695.0,3850.0,14K Gold,Yellow,"Round Diamond 0.66,",Rings,0.66
"Effy Signature 14K Rose Gold Diamond and Emerald Ring, 1.52 TCW",4515.0,6450.0,14K Gold,Rose,"Diamond 1.5,",Rings,1.52
"Effy Brasilica 14K 2-Tone Gold Emerald and Diamond Ring, 1.36 TCW",1715.0,2450.0,14K Gold,Yellow,"Emerald Cut Emerald 0.95, Round Diamond 0.41,",Rings,1.36
"Effy Pave Classica 14K Rose Gold Diamond Band Ring, 0.31 TCW",945.0,1350.0,14K Gold,Rose,"Round Diamond 0.31,",Rings,0.31
"Effy 14K White Gold Black Diamond Stack Ring, 0.65 TCW",945.0,1350.0,14K Gold,White,"Round Black Diamond 0.65,",Rings,0.65
"Effy Espresso 14K Rose Gold Cognac and White Diamond Ring, 1.52 TCW",4025.0,5750.0,14K Gold,Rose,Round Diamond 1.52,Rings,1.52
"Effy Watercolors 14K Yellow Gold Multi-Sapphire Diamond Ring, 2.81 TCW",1956.5,2795.0,14K Gold,Yellow,"Oval Multi Sapphire 2.56, Round Diamond 0.25,",Rings,2.81
"Effy Bridal 18K White Gold Diamond Solitaire Ring, 1.24 TCW",13296.5,18995.0,18K Gold,White,"Round Diamond 1, Round Diamond 0.24,",Rings,1.24
"Effy Pave Classica 14K White Gold Diamond Fashion Ring, 0.43 TCW",1676.5,2395.0,14K Gold,White,Round Diamond 0.43,Rings,0.43
"Effy Duo 14K White and Yellow Gold Diamond Crossover Ring, 1.41 TCW",4196.5,5995.0,14K Gold,Yellow and White,"Multi Shape Diamond 1.41,",Rings,1.41
"Effy Safari 14k Yellow Gold Black and White Diamond Tiger Ring, 1.85 TCW",5946.5,8495.0,14K Gold,Yellow,"Round Diamond 1.85,",Rings,1.85
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Ring, 0.96 TCW",1536.5,2195.0,14K Gold,Rose,"Trillion Tanzanite 0.76, Round Diamond 0.2,",Rings,0.96
"Effy Nature 14K Rose Gold Ruby, Sapphire & Diamond Butterfly Ring, 1.81 TCW",2520.0,3600.0,14K Gold,Rose,"Round Multi Color 1.34, Round Diamond 0.47,",Rings,1.81
"Effy Bouquet 14K White Gold Diamond Twist Ring, 0.48 TCW",1886.5,2695.0,14K Gold,White,"Round Diamond 0.48,",Rings,0.48
"Effy 925 Lagoon Sterling Silver Blue Topaz Ring, 5.70 TCW",416.5,595.0,Sterling Silver,Sterling Silver,"Blue Topaz 5.7,",Rings,5.7
"Effy Novelty 14K Gold Blue, White and Black Diamond Evil Eye Ring, 0.37 TCW",1396.5,1995.0,14K Gold,Rose,"Round Diamond 0.37,",Rings,0.37
"Effy Bordeaux 14K Rose Gold Rhodolite Garnet and Diamond Ring, 1.46 TCW",1186.5,1695.0,14K Gold,Rose,"Pear Garnet 1.23, Round Diamond 0.23,",Rings,1.46
"Effy Canare 14K Two-Tone Gold  Yellow and White Diamond Ring, .74 TCW",2446.5,3495.0,14K Gold,Yellow and White,"Round Yellow Diamond, Round Diamond ,",Rings,0.74
"Effy 14K White Gold Two-of-Us Diamond Ring, 0.59 TCW",2142.5,4285.0,14K Gold,White,"Round Diamond 0.59,",Rings,0.59
"Effy Royalty 14K White Gold Blue Sapphire and Diamond Ring, 2.29 TCW",2376.5,3395.0,14K Gold,White,"Oval Blue Sapphire 1.9, Round Diamond 0.39,",Rings,2.29
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Channel-Set Ring, 0.66 TCW",1536.5,2195.0,14K Gold,Yellow,"Baguette Emerald 0.46, Round Diamond 0.2,",Rings,0.66
"Effy Gemma 14K White and Rose Gold Tanzanite and Diamond Ring, 1.80 TCW",2656.5,3795.0,14K Gold,Rose and White,"Emerald Cut Tanzanite 1.33, Round Diamond 0.47,",Rings,1.8
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Ring, 3.39 TCW",2415.0,3450.0,14K Gold,White,"Multi Shape Multi Sapphire 3.25, Round Diamond 0.14",Rings,3.39
"Effy Watercolors 14K White Gold Sapphire & Diamond Ring, 1.46 TCW",1365.0,1950.0,14K Gold,Yellow,"Round Diamond 0.13, Princess Sapphire 1.33,",Rings,1.46
